,time,new_zealand,greenland,n_atlantic,s_atlantic,indonesia,japan,oregon,alaska,china,congo,mediterranean,antarctica,arabean_sea,gulf_of_mexico,e_pacific,s_australia,philippines,s_america,iceland,scandinavia,w_africa
123,12300,-0.0555802,12.74747257,1.172638332,0.763921264,-0.777897304,-0.114330848,1.305047097,-2.852800334,-1.643219151,1.552441014,2.189449627,0.303635402,-2.887246861,0.002625197,0.02929554,1.038538824,-0.24977504,0.389776596,0.726470517,0.205872315,0.728768894
124,12400,0.183068523,13.19793933,1.311714004,0.562121361,-0.682657482,0.273810606,1.331535736,-3.021836013,-1.81779521,1.607796433,2.362402574,0.33348337,-2.757762716,0.054274624,0.050252492,0.958917326,-0.450290127,0.498890392,1.014432687,0.341724894,0.877819321
125,12500,0.243148209,11.91875405,1.605297736,0.877230573,-0.496615794,0.86138454,1.384245224,-2.213300483,-1.478416174,1.710411792,2.182987948,0.513937845,-2.328693006,0.371501895,0.109382196,1.104830385,-0.330866006,0.494658512,1.313567036,0.688022205,0.957523699
126,12600,0.396032472,14.17526664,1.852538988,0.891055744,-0.518732353,0.160267323,1.774954744,-1.597464252,-1.041314139,2.037138656,2.02724427,0.962543248,-2.03455394,0.301654836,0.263506004,1.224312385,-0.324048371,0.483761039,1.86208037,1.466791046,1.068260922
127,12700,0.524829202,15.81596416,1.968735554,0.803840611,-0.299532848,0.618932341,1.644260583,-1.541109132,-0.836549163,2.836355806,2.300902461,0.818773339,-1.547263975,0.471895508,0.333052074,1.469119385,-0.019301416,0.724224549,1.374953551,1.232298657,0.915287451
128,12800,0.77601797,9.162299358,1.932388496,0.449647242,0.074138637,0.702434611,1.629658481,-1.290770776,-0.468798162,2.851039542,2.266102062,0.788754624,-0.867267411,0.450724994,0.325277488,1.677415385,-0.006271263,0.779170049,1.525507964,1.723232684,0.774131672
129,12900,0.495475242,5.685615095,1.917590979,0.343179849,0.139009637,0.702734055,1.407756748,-0.898419849,-0.272171161,2.711015796,2.244083174,0.688141421,-0.402609863,0.320131441,0.32571289,1.710038732,0.162504117,0.541479724,1.062787345,1.893463993,0.854393507
130,13000,0.625582977,8.432015547,1.638605251,0.675669798,0.212860512,0.859184941,1.226339599,-1.334877142,-0.259899166,2.503131114,1.979036954,-0.163424752,-0.23448851,0.164434917,0.34302094,2.343889485,0.458723968,0.372210921,0.818628005,1.148238633,0.80386098
131,13100,0.710105395,12.95702395,0.622116529,0.418975158,0.309029622,1.078929313,0.61836751,-1.129289727,-0.184561163,2.24189256,1.714456684,0.012580034,0.010793771,0.251888244,0.264122791,2.680081238,0.30537836,0.371221402,1.864769949,1.271045939,0.845851092
132,13200,0.677364292,9.809918758,-0.323074899,0.430151913,0.231279415,0.599459606,1.73807195,-1.917716926,-0.197317174,2.144843197,1.53408921,-0.14623845,0.112598826,0.177916725,0.300267657,3.006959991,0.229954684,0.305424135,2.42266384,1.47523398,0.905560715
133,13300,0.747582038,6.308095,-0.141494832,0.222505375,0.077208301,0.670041575,1.52594843,-2.088054076,0.002938837,2.314048406,1.284830608,-0.397467072,0.152549881,0.259170284,0.256711036,3.23788629,0.238563479,0.436483751,0.483883285,1.632830835,0.909741584
134,13400,0.869011584,4.587218048,0.036092788,-0.179216881,0.16153967,0.566213387,1.506912054,-2.085457096,0.168500849,2.403003852,1.288669365,-0.527798879,0.334490398,0.331563687,0.301375089,3.22557729,0.294181856,0.475445103,0.175112438,1.645813155,1.023277088
135,13500,1.133783317,3.487887524,0.582502108,0.405890041,0.170926459,-0.342242623,1.541575832,-2.430270541,0.281092861,2.358145844,1.101655685,-0.56258788,0.525951068,0.425445382,0.295341538,3.21614529,0.290820776,0.46344913,-0.162348274,1.393216575,0.639648033
136,13600,0.881877743,7.886050784,0.434067541,0.23584965,0.163562139,0.446968704,0.817723443,-2.097596146,0.366308814,2.259944685,0.868919462,-0.581051229,0.720280661,0.455935175,0.311324154,3.29951929,0.238558351,0.445670025,0.43391986,1.380469943,0.523902106
137,13700,1.046098908,3.482693143,-0.045622869,0.44319068,0.08386062,0.185423736,1.566416099,-2.346491189,0.574458885,1.888058834,0.965548846,-1.067577675,1.024541809,0.284520216,0.458165192,3.38744929,0.201114922,0.625488476,0.895704429,1.242128007,0.603601967
138,13800,1.289450767,4.8103405,-0.008912916,-0.052075396,-0.097002256,0.279029006,1.6560951,-2.148158577,0.567308837,1.315281222,0.710491078,-1.278833051,1.369722215,0.561849158,0.426596166,3.504413646,0.174583321,0.419353544,0.670622722,0.951878339,0.500115002
